,HastaneAdi,Enlem,Boylam,Adres,Telefon
0,Adana Ağız Ve Diş Sağlığı Merkezi,37.0024,35.328876,100.Yıl Mah. 85341 Sk No:2 Çukurova/adana,3222563960
1,Adana Ceyhan Devlet Hastanesi,37.02709,35.819077,"Ceyhan Devlet Hastanesi, Ulus Mh., 01950 Ceyhan/adana",3226131362
2,Adana Devlet Hastanesi,36.985157,35.33731,"Adana Devlet Hastanesi H.Ömer Sabancı Cd. (Eski Numune Hastanesi) 01140 Seyhan Adana
Semt Polikliniği Eski Adana Devlet Hastanesi Karataş Yolu Üzeri 01160 Yüreğir Adana

",3223215752
3,Adana Dr.Ekrem Tok Ruh Sağlığı Ve Hastalıkları Hastanesi,37.055656,35.275986,Belediye Evleri Mahallesi Turgut Özal Bulvarı  No : 230  Kurttepe /  Çukurova /adana pk-01330,3222390475
4,Adana Kadın Doğum Ve Çocuk Hastalıkları Hastanesi,36.842556,34.623135,"Ana Bina:bakımyurdu Cad. No:145  Seyhan/adana   Tel:0322 3654950
Ek Bina: Erdal Acet Cad. Döşeme Mah. Marsa Yağ Fabrikası Karşısı Seyhan/adana  Tel:0322 4316001",3224316001
5,Adana Karaisalı Devlet Hastanesi,37.254704,35.060955,Karaisalı Devlet Hastanesi,3225512524
6,Adana Kozan Devlet Hastanesi,37.464188,35.825237,Kozan Devlet Hastanesi,3225159999
7,Adana Numune Eğitim Ve Araştırma  Hastanesi,37.019722,35.321625,Serinevler Mah. Ege Bağtur Bulvarı Üzeri  Yüreğir / Adana,3223550101
8,Adana Pozantı 80.Yıl Devlet Hastanesi,37.460636,34.87344,E90 Eski Ankara Yolu Üzeri Karayolu Pozantı/adana,3225813945
9,Adana Tufanbeyli Devlet Hastanesi,37.81643,35.824677,"Cumhuriyet Mahallesi Hastane Caddesi
Tufanbeyli/adana",3227819496
10,Adana Çukurova Dr.Aşkım Tüfekçi Devlet Hastanesi,37.02135,35.319073,Yeni Baraj Mah.Hacı Ömer Sabancı Cad.01330 Seyhan/adana,3222259329
11,Adana İmamoğlu Devlet Hastanesi,37.252346,35.647568,Hürriyet Mahlesi 700.Sokak,3228913701
12,Adıyaman Ağız Ve Diş Sağlığı Merkezi,37.797848,38.296967,Siteler Mah. Kavi Cad. Adıyaman Ağız Ve Diş Sağlığı Merkezi,4162253284
13,Adıyaman Besni Devlet Hastanesi,37.404976,37.531357,"Çat Mahallesi 102. Cadde No:6 Daire A 
Besni/adıyaman",4163181067
14,Adıyaman Gölbaşı Devlet Hastanesi,37.79032,37.660236,Malatya Yolu Üzeri Gölbaşı/adıyaman,4167816133
15,Adıyaman Kahta Devlet Hastanesi,38.27617,37.764168,Yavuz Selim Mah.,4167255067
16,Adıyaman T.C. Sağlık Bakanlığı Adıyaman Üniversitesi Eğitim Ve Araştırma Hastanesi,37.788624,38.303833,"Merkez Adres: Turgut Reis Mh., 02200 Adıyaman, Türkiye 
Ek-1 Adres: Barbaros Hayrettin Mh., 02040 Adıyaman, Türkiye 
Ek-2 Adres: Yeşilyurt Mh., 02200 Adıyaman, Türkiye ",4162161015
17,Adıyaman Çelikhan Devlet Hastanesi,38.04593,38.25096,Bahçelievler Mah.02600 Çelikhan/adıyaman,4164512101
18,Afyonkarahisar Ağız Ve Diş Sağlığı Merkezi,38.757713,30.5374,"Ali Çetinkaya Mahallesi Atatürk Caddesi Eski Devlet Hastanesi C Blok Binası Kat:1-2-3
Afyonkarahisar ",2722130920
19,Afyonkarahisar Devlet Hastanesi,38.76422,30.545082,"Orhangazi Mahallesi Nedim Helvacıoğlu Bulvarı No:73 Afyonkarahisar 
",2724444234
20,Afyonkarahisar Dr.Halil İbrahim Özsoy Bolvadin Devlet Hastanesi,38.710915,31.0479,Erkmen Mahallesi Emirdağ Caddesi  Bolvadin/ Afyonkarahisar,2726129100
21,Afyonkarahisar Dinar Devlet Hastanesi,38.76434,30.545168,İncirli Mah.Askerlik Şb.Sok. No:3 Dinar/afyon,2723536099
22,Afyonkarahisar Emirdağ Devlet Hastanesi,39.002132,31.84161,Çilli Mah. Konya Cad. Emirdağ,2724427056
23,Afyonkarahisar Sandıklı Devlet Hastanesi,38.459854,30.265188,Ece Mahallesi İstasyon Caddesi No:30,2725125177
24,Afyonkarahisar Sinanpaşa İlçe Hastanesi,38.742504,30.244888,Yukarı Mahalle Asım Kocabıyık Caddesi No:53 Sinanpaşa / Afyonkarahisar,2723118040
25,Afyonkarahisar Zübeyde Hanım Kadın Doğum Ve Çocuk Hastalıkları Hastanesi,30.544195,38.763023,Derviş Paşa Mah. Doktor. Mazhar Paşa Cad. No: 5 Afyonkarahisar,2722133956
26,Afyonkarahisar Çay Devlet Hastanesi,38.592354,31.024834,Ali Kaleli Mah.Cumhuriyet Mah. No:200   Çay /afyonkarahisar,2726326300
27,Afyonkarahisar İscehisar Devlet Hastanesi,30.752377,38.85959,"Fatih Mahallesi Belenardı Sok. 
İscehisar/afyonkarahisar",2723414305
28,Afyonkarahisar Şuhut Devlet Hastanesi,38.537727,30.550682,İstiklal Mah. Afyon Cad. No:6,2727181001
29,Ağrı Ağız Ve Diş Sağlığı Merkezi,40.97742,37.883755,Erzurum Caddesi Eski Sgk İl Binası Karşısı İdeal Market Üstü Ağrı,4722156616
30,Ağrı Devlet Hastanesi,40.873398,37.758595,Fırat Mah. Tedaş Yanı Ağrı,4722151056
31,Ağrı Dr.Yaşar Eryılmaz Doğubeyazıt Devlet Hastanesi,39.548496,44.081074,Ağrı Yolu Üzeri 4.Km,4723126017
32,Ağrı Diyadin Devlet Hastanesi,39.5409,43.679153,Kaplıca Yolu Üzeri Değirmen Karşısı,4725112064
33,Ağrı Eleşkirt Devlet Hastanesi,39.801826,42.676476,İstiklal Mahallesi Hükmet Konağı Arkası Eleşkirt Devlet Hastanesi,4727114142
34,Ağrı Hamur İlçe Devlet Hastanesi,39.609093,42.98654,"Hamur İlçe Hastanesi, Merkez Mah. Yüzbaşı Müfit Özkan Cad. Hamur/ağrı 
Telefon No: 04724512584 Faks No: 04724512208 E-mail: Agridhs8@saglik.Gov.Tr
",4724512584
35,Ağrı Patnos Devlet Hastanesi,39.235943,42.85805,"Adilcevaz Yolu Üzeri
5.Ci Km
Patnos/ağrı",4726161557
36,Ağrı Taşlıçay İlçe Devlet Hastanesi,39.636547,43.380978,Transit Cad. Yavuz Selim İlköğretim Okulu Karşısı/taşlı Çay      Ayrıntılı Bilgi İçin. İrtibat:    Telefon?0472 551 33 05 Faks: (0472 551 33 07)      E-posta: T.Devhast.04@Hotmail.Com,4725513305
37,Ağrı Tutak Devlet Hastanesi,39.717438,43.017353,Van Yolu Üzeri Kazım Karabekir Cad.Ağrı / Tutak,4724112005
38,Amasya Ağız Ve Diş Sağlığı Merkezi,40.648216,35.827484,Fethiye Mah. Mehmet Çelebi Cad. No:10/3 ( Plevne İlköğretim Okulu Karşısı- Eski Devlet Hastanesi Yerinde)merkez/amasya,3582184033
39,Amasya Gümüşhacıköy Devlet Hastanesi,40.87392,35.2159,Artıkabat Mah.Cumhuriyet Cad No:140 Gümüşhacıköy Amasya,3587173733
40,Amasya Merzifon Kara Mustafa Paşa Devlet Hastanesi,40.868305,35.43713,Bahçelievler Mahallesi İbnisina Sokak No:2 Merzifon,3585134444
41,Amasya Sabuncuoğlu Şerefeddin Devlet Hastanesi,24000.0,32000.0,Kirazlıdere Mahallesi,3582184000
42,Amasya Suluova Devlet Hastanesi,40.82765,35.65371,Hürriyet Mh. Hastane Cd. No:16 Suluova/amasya,3584178000
43,Amasya Taşova Devlet Hastanesi,40.754036,36.339985,Sanayi Mahallesi Hastaneler Caddesi No 46 Taşova Amasya,3583122424
44,Ankara 75.Yıl Ağız Ve Diş Sağlığı Merkezi,39.935966,32.875725,Ulucanlar Caddesi Ankara Hastanesi Yanı Altındağ / Ankara,3125959800
45,Ankara Atatürk Eğitim Ve Araştırma Hastanesi,39.90189,32.760662,Lodumlu Mevkii Eskişehir Yolu No:2 Bilkent-çankaya-ankara,3122912525
46,Ankara Atatürk Göğüs Hastalıkları Ve Göğüs Cerrahisi Eğitim Ve Araştırma Hastanesi,40.000065,32.856426,Sanatoryum Caddesi Keçiören - Ankara  ,3125677000
47,Ankara Balgat Ağız Ve Diş Sağlığı Merkezi,39.90328,32.817566,Oğuzlar Mh. Barış Manço Caddesi No:22 Balgat Çankaya/ankara,3122842679
48,Ankara Beypazarı Devlet Hastanesi,40.164158,31.91951,Ayvaşık Mah.Dr Hamdi Soysal No:1 Beypazarı,3127630775
49,Ankara Dışkapı Yıldırım Beyazıt Eğitim Ve Araştırma Hastanesi,39.954895,32.8628,S.B Ankara Dışkapı Yıldırım Beyazıt Eğitim Ve Araştırma Hastanesi,3125962000
50,Ankara Dışkapı Çocuk Sağlığı Ve Hastalıkları Hematoloji Onkoloji Eğitim Ve Araştırma Hastanesi,39.954983,32.864708,Ziraat Mah. İrfan Baştuğ Cad. Kurtdereli Sk. No:10 Dışkapı - Ankara,3125969600
51,Ankara Dr. Abdurrahman Yurtaslan Onkoloji Eğitim Ve Araştırma Hastanesi,39.967785,32.778095,Mehmet Akif Ersoy Mh.  13.Cadde No:56 Dr. Abdurrahman Yurtaslan Onkolojı Eğt. Ve Araş. Hastanesi Yenimahalle/ Demetevler/ankara,3123360909
52,Ankara Dr.Hulusi Alataş Elmadağ Devlet Hastanesi,39.917484,33.231724,Yenice Mahallesi Soğuk Pınar Sokak. No:1 Elmadağ/ankara,3128631041
53,Ankara Dr.Sami Ulus Kadın Doğum Çocuk Sağlığı Ve Hastalıkları Eğitim Ve Araştırma Hastanesi,39.952477,32.874336,Babür Cad. No 44: Altındağ/ankara,3123056000
54,Ankara Dr.Zekai Tahir Burak Kadın Sağlığı Eğitim Ve Araştırma Hastanesi,39.93314,32.868755,Talat Paşa Bulvarı Samanpazarı Ankara,3123062996
55,Ankara Etlik Zübeyde Hanım Kadın Hastalıkları Eğitim Ve Araştırma Hastanesi,39.963898,32.840042,Yeni Etlik Cad No:55 Keçiören Ankara,3123220180
56,Ankara Eğitim Ve Araştırma Hastanesi,39.937412,32.877068,Şükriye Mah.Ulucanlar Cad.No:89 Altındağ/ankara,3125953000
57,Ankara Fizik Tedavi Ve Rehabilitasyon Eğitim Ve Araştırma Hastanesi,39.93282,32.857414,"Türkocağı Sok No:3 Sıhhıye/ankara
",3123103230
58,Ankara Gazi Mustafa Kemal Devlet Hastanesi,39.953964,32.822342,Gazi Mah. Silahtar Cad No:2 Y Mahalle Ankara,3122126666
59,Ankara Gölbaşı Ağız Ve Diş Sağlığı Merkezi,39.811172,32.807236,Gaziosmanpaşa Mah. Ankara Cad. No:16-a,3124851486
60,Ankara Gölbaşı Hasvak Devlet Hastanesi,39.7873,32.807236,"Bahçelievler Mahallesi 319. Sokak No: 52
06830 - Gölbaşı / Ankara ",3124840327
61,Ankara Halil Şıvgın Çubuk Devlet Hastanesi,40.23044,33.03337,Cumhuriyet Mahallesi Ankara Bulvarı No:54 Çubuk/ankara,3128378110
62,Ankara Haymana Devlet Hastanesi,39.43425,32.511772,Seyran Mahallesi Hastane Caddesi No:15 Haymana/ankara,3126583041
63,Ankara Kazan Hamdi Eriş Devlet Hastanesi,40.20305,32.680298,Atatürk Mah.F.Çakmak Cad.Kazan/ankara,3128141414
64,Ankara Keçiören Eğitim Ve Araştırma Hastanesi,40.003532,32.85702,"Pınarbaşı Mah. Sanatoryum Cad. Ardahan Sok. No:25  06380 
Keçiören / Ankara",3123569000
65,Ankara Keçiören Osmanlı Ağız Ve Diş Sağlığı Merkezi,39.88366,32.879333,Yeni Etlik Caddesi 103/a keçiören osmanlı iş merkezi 2. kat etlik keçiören/ankara,3123253636
66,Ankara Kızılcahamam Devlet Hastanesi,40.517975,32.650497,Akçay Mah. Sırtyol Sok.No:2 Kızılcahamam/ Ankara,3127361008
67,Ankara Mamak Ağız Ve Diş Sağlığı Merkezi,39.987644,32.901306,Çağlayan Mahallesi 286/1 Sokak No:8 Kat:2-3 Mamak/ankara,3123702511
68,Ankara Meslek Hastalıkları Hastanesi,40.00799,32.861286,Osmangazi Mah. Atlılar Sk. No:45 Keçiören / Ankara,3125808395
69,Ankara Nallıhan Devlet Hastanesi,40.194183,31.337942,100. Yıl Mahallesi Aydın Caddesi No:1 Nallıhan / Ankara,3127851041
70,Ankara Numune Eğitim Ve Araştırma Hastanesi,39.941067,32.858734,Ülkü Mah.Talat Paşa Bulvarı No:5 Altındağ/ankara,3125084000
71,Ankara Polatlı Duatepe Devlet Hastanesi,39.586838,32.126343,"A Blok Şehitlik Mh. Anıttepe Cd. Polatlı /ankara
b blok şentepe mh hasan polatkan cd. polatlı / ankara",3126212500
